	Project	Banner number	Date	Impression	Click	Date_passed	CTR_calculated
0	A	1	Monday	22908.0	611.0	1	0.0267
1	A	1	Tuesday	30317.0	736.0	2	0.0243
2	A	1	Wednesday	30258.0	713.0	3	0.0236
3	A	1	Thursday	28464.0	687.0	4	0.0241
4	A	1	Friday	25650.0	539.0	5	0.021
5	A	1	Saturday	16309.0	392.0	6	0.024
6	A	1	Sunday	16437.0	313.0	7	0.019
7	A	1	Monday	28505.0	537.0	8	0.0188
8	A	1	Tuesday	29054.0	562.0	9	0.0193
9	A	1	Wednesday	28375.0	530.0	10	0.0187
10	A	1	Thursday	26296.0	520.0	11	0.0198
11	A	1	Friday	25064.0	519.0	12	0.0207
12	A	1	Saturday	16875.0	303.0	13	0.018
13	A	1	Sunday	15943.0	298.0	14	0.0187
14	A	1	Monday	28049.0	497.0	15	0.0177
15	A	1	Tuesday	28564.0	500.0	16	0.0175
16	A	1	Wednesday	30351.0	519.0	17	0.0171
17	A	1	Thursday	28845.0	493.0	18	0.0171
18	A	1	Friday	24594.0	410.0	19	0.0167
19	A	1	Saturday	16308.0	279.0	20	0.0171
20	A	1	Sunday	16585.0	265.0	21	0.016
21	A	4	Monday	574421.0	794.0	1	0.0014
22	A	4	Tuesday	633890.0	832.0	2	0.0013
23	A	4	Wednesday	929412.0	1157.0	3	0.0012
24	A	4	Thursday	593355.0	726.0	4	0.0012
25	A	4	Friday	434416.0	499.0	5	0.0011
26	A	4	Saturday	260841.0	318.0	6	0.0012
27	A	4	Sunday	259993.0	321.0	7	0.0012
28	A	6	Monday	324960.0	218.0	1	0.0007
29	A	6	Tuesday	358947.0	263.0	2	0.0007
30	A	6	Wednesday	346175.0	241.0	3	0.0007
31	A	6	Thursday	317695.0	249.0	4	0.0008
32	A	6	Friday	239332.0	160.0	5	0.0007
33	A	6	Saturday	154957.0	95.0	6	0.0006
34	A	6	Sunday	176484.0	99.0	7	0.0006
35	A	6	Monday	253638.0	171.0	8	0.0007
36	A	6	Tuesday	222959.0	151.0	9	0.0007
37	A	6	Wednesday	217399.0	133.0	10	0.0006
38	A	6	Thursday	207744.0	129.0	11	0.0006
39	A	6	Friday	157847.0	115.0	12	0.0007
40	A	6	Saturday	116874.0	70.0	13	0.0006
41	A	6	Sunday	121786.0	67.0	14	0.0006
42	A	7	Monday	826044.0	890.0	1	0.0011
43	A	7	Tuesday	864745.0	857.0	2	0.001
44	A	7	Wednesday	880677.0	864.0	3	0.001
45	A	7	Thursday	817607.0	742.0	4	0.0009
46	A	7	Friday	616148.0	567.0	5	0.0009
47	A	7	Saturday	406447.0	373.0	6	0.0009
48	A	7	Sunday	444716.0	381.0	7	0.0009
49	A	7	Monday	655423.0	562.0	8	0.0009
50	A	7	Tuesday	570263.0	492.0	9	0.0009
51	A	7	Wednesday	548064.0	443.0	10	0.0008
52	A	7	Thursday	475725.0	452.0	11	0.001
53	A	7	Friday	404955.0	355.0	12	0.0009
54	A	7	Saturday	284989.0	201.0	13	0.0007
55	A	7	Sunday	294314.0	214.0	14	0.0007
56	A	7	Monday	405089.0	318.0	15	0.0008
57	A	7	Tuesday	367700.0	293.0	16	0.0008
58	A	7	Wednesday	345522.0	272.0	17	0.0008
59	A	7	Thursday	326974.0	249.0	18	0.0008
60	A	7	Friday	278002.0	203.0	19	0.0007
61	A	7	Saturday	201802.0	106.0	20	0.0005
62	A	7	Sunday	220091.0	143.0	21	0.0006
63	A	8	Monday	94180.0	564.0	1	0.006
64	A	8	Tuesday	89771.0	559.0	2	0.0062
65	A	8	Wednesday	90617.0	493.0	3	0.0054
66	A	8	Thursday	79111.0	400.0	4	0.0051
67	A	8	Friday	62016.0	322.0	5	0.0052
68	A	8	Saturday	42336.0	234.0	6	0.0055
69	A	8	Sunday	42947.0	239.0	7	0.0056
70	A	8	Monday	86457.0	403.0	8	0.0047
71	A	8	Tuesday	83751.0	413.0	9	0.0049
72	A	8	Wednesday	82530.0	402.0	10	0.0049
73	A	8	Thursday	69333.0	385.0	11	0.0056
74	A	8	Friday	59274.0	312.0	12	0.0053
75	A	8	Saturday	43006.0	175.0	13	0.0041
76	A	8	Sunday	43099.0	225.0	14	0.0052
77	A	8	Monday	66433.0	272.0	15	0.0041
78	A	8	Tuesday	65790.0	275.0	16	0.0042
79	A	8	Wednesday	65428.0	288.0	17	0.0044
80	A	8	Thursday	61434.0	247.0	18	0.004
81	A	8	Friday	63698.0	266.0	19	0.0042
82	A	8	Saturday	47704.0	202.0	20	0.0042
83	A	8	Sunday	49995.0	219.0	21	0.0044
84	B	1	Monday	28053.0	222.0	1	0.0079
85	B	1	Tuesday	28075.0	202.0	2	0.0072
86	B	1	Wednesday	29191.0	193.0	3	0.0066
87	B	1	Thursday	27970.0	165.0	4	0.0059
88	B	1	Friday	24463.0	181.0	5	0.0074
89	B	1	Saturday	16210.0	104.0	6	0.0064
90	B	1	Sunday	16542.0	93.0	7	0.0056
91	B	1	Monday	29272.0	228.0	8	0.0078
92	B	1	Tuesday	28555.0	210.0	9	0.0074
93	B	1	Wednesday	28038.0	171.0	10	0.0061
94	B	1	Thursday	27320.0	185.0	11	0.0068
95	B	1	Friday	23984.0	134.0	12	0.0056
96	B	1	Saturday	16972.0	96.0	13	0.0057
97	B	1	Sunday	17011.0	106.0	14	0.0062
98	B	1	Monday	29499.0	213.0	15	0.0072
99	B	1	Tuesday	29857.0	206.0	16	0.0069
100	B	1	Wednesday	29768.0	220.0	17	0.0074
101	B	1	Thursday	28657.0	190.0	18	0.0066
102	B	1	Friday	25916.0	170.0	19	0.0066
103	B	1	Saturday	17011.0	118.0	20	0.0069
104	B	1	Sunday	17291.0	115.0	21	0.0067
105	B	3	Monday	167710.0	96.0	1	0.0006
106	B	3	Tuesday	151629.0	107.0	2	0.0007
107	B	3	Wednesday	145433.0	103.0	3	0.0007
108	B	3	Thursday	133626.0	89.0	4	0.0007
109	B	3	Friday	137436.0	74.0	5	0.0005
110	B	3	Saturday	91809.0	50.0	6	0.0005
111	B	3	Sunday	101489.0	53.0	7	0.0005
112	B	3	Monday	191942.0	110.0	8	0.0006
113	B	3	Tuesday	212273.0	124.0	9	0.0006
114	B	3	Wednesday	186504.0	109.0	10	0.0006
115	B	3	Thursday	182165.0	91.0	11	0.0005
116	B	3	Friday	161797.0	80.0	12	0.0005
117	B	3	Saturday	106748.0	53.0	13	0.0005
118	B	3	Sunday	88756.0	43.0	14	0.0005
119	B	3	Monday	158745.0	64.0	15	0.0004
120	B	3	Tuesday	135776.0	86.0	16	0.0006
121	B	3	Wednesday	141095.0	80.0	17	0.0006
122	B	3	Thursday	136467.0	81.0	18	0.0006
123	B	3	Friday	116321.0	66.0	19	0.0006
124	B	3	Saturday	91087.0	46.0	20	0.0005
125	B	3	Sunday	133233.0	75.0	21	0.0006
126	B	6	Monday	186612.0	108.0	1	0.0006
127	B	6	Tuesday	176613.0	106.0	2	0.0006
128	B	6	Wednesday	172252.0	87.0	3	0.0005
129	B	6	Thursday	169168.0	98.0	4	0.0006
130	B	6	Friday	152245.0	87.0	5	0.0006
131	B	6	Saturday	112735.0	57.0	6	0.0005
132	B	6	Sunday	143620.0	71.0	7	0.0005
133	B	6	Monday	225172.0	138.0	8	0.0006
134	B	6	Tuesday	242887.0	133.0	9	0.0005
135	B	6	Wednesday	250458.0	153.0	10	0.0006
136	B	6	Thursday	216116.0	129.0	11	0.0006
137	B	6	Friday	204786.0	126.0	12	0.0006
138	B	6	Saturday	145819.0	61.0	13	0.0004
139	B	6	Sunday	189640.0	107.0	14	0.0006
140	B	7	Monday	410712.0	281.0	1	0.0007
141	B	7	Tuesday	371688.0	268.0	2	0.0007
142	B	7	Wednesday	349784.0	272.0	3	0.0008
143	B	7	Thursday	326936.0	222.0	4	0.0007
144	B	7	Friday	278549.0	185.0	5	0.0007
145	B	7	Saturday	202984.0	135.0	6	0.0007
146	B	7	Sunday	221106.0	121.0	7	0.0005
147	B	7	Monday	375564.0	236.0	8	0.0006
148	B	7	Tuesday	381502.0	213.0	9	0.0006
149	B	7	Wednesday	370698.0	249.0	10	0.0007
150	B	7	Thursday	333720.0	228.0	11	0.0007
151	B	7	Friday	297640.0	192.0	12	0.0006
152	B	7	Saturday	227999.0	118.0	13	0.0005
153	B	7	Sunday	316239.0	180.0	14	0.0006
154	B	12	Monday	6508.0	16.0	1	0.0025
155	B	12	Tuesday	6269.0	23.0	2	0.0037
156	B	12	Wednesday	6137.0	14.0	3	0.0023
157	B	12	Thursday	5775.0	14.0	4	0.0024
158	B	12	Friday	4873.0	13.0	5	0.0027
159	B	12	Saturday	3121.0	9.0	6	0.0029
160	B	12	Sunday	3684.0	11.0	7	0.003
161	B	12	Monday	5985.0	15.0	8	0.0025
162	B	12	Tuesday	6114.0	15.0	9	0.0025
163	B	12	Wednesday	5797.0	20.0	10	0.0035
164	B	12	Thursday	5500.0	15.0	11	0.0027
165	B	12	Friday	4409.0	16.0	12	0.0036
166	B	12	Saturday	3153.0	11.0	13	0.0035
167	B	12	Sunday	3379.0	9.0	14	0.0027
168	C	1	Monday	35944.0	237.0	1	0.0066
169	C	1	Tuesday	36372.0	257.0	2	0.0071
170	C	1	Wednesday	35895.0	214.0	3	0.006
171	C	1	Thursday	34697.0	236.0	4	0.0068
172	C	1	Friday	31714.0	193.0	5	0.0061
173	C	1	Saturday	20779.0	124.0	6	0.006
174	C	1	Sunday	21690.0	152.0	7	0.007
175	C	1	Monday	33780.0	192.0	8	0.0057
176	C	1	Tuesday	35639.0	210.0	9	0.0059
177	C	1	Wednesday	35088.0	232.0	10	0.0066
178	C	1	Thursday	33734.0	184.0	11	0.0055
179	C	1	Friday	28946.0	165.0	12	0.0057
180	C	1	Saturday	18327.0	110.0	13	0.006
181	C	1	Sunday	16729.0	91.0	14	0.0054
182	C	1	Monday	38899.0	212.0	22	0.0055
183	C	1	Tuesday	38224.0	184.0	23	0.0048
184	C	1	Wednesday	36196.0	180.0	24	0.005
185	C	1	Thursday	34041.0	183.0	25	0.0054
186	C	1	Friday	20024.0	93.0	26	0.0046
187	C	1	Saturday	17297.0	83.0	27	0.0048
188	C	1	Sunday	20661.0	86.0	28	0.0042
189	C	2	Monday	6508.0	16.0	1	0.0025
190	C	2	Tuesday	6269.0	23.0	2	0.0037
191	C	2	Wednesday	6137.0	14.0	3	0.0023
192	C	2	Thursday	5775.0	14.0	4	0.0024
193	C	2	Monday	280848.0	97.0	22	0.0003
194	C	2	Tuesday	306592.0	96.0	23	0.0003
195	C	2	Wednesday	294886.0	79.0	24	0.0003
196	C	2	Thursday	279051.0	76.0	25	0.0003
197	C	2	Friday	167304.0	54.0	26	0.0003
198	C	2	Saturday	143533.0	41.0	27	0.0003
199	C	3	Monday	167710.0	96.0	1	0.0006
200	C	3	Tuesday	151629.0	107.0	2	0.0007
201	C	3	Wednesday	145433.0	103.0	3	0.0007
202	C	3	Thursday	133626.0	89.0	4	0.0007
203	C	3	Monday	165398.0	56.0	8	0.0003
204	C	3	Tuesday	145184.0	33.0	9	0.0002
205	C	3	Wednesday	151153.0	33.0	10	0.0002
206	C	3	Thursday	148484.0	31.0	11	0.0002
207	C	3	Friday	127554.0	42.0	12	0.0003
208	C	3	Saturday	82086.0	25.0	13	0.0003
209	C	3	Sunday	86348.0	18.0	14	0.0002
210	C	3	Monday	135846.0	37.0	15	0.0003
211	C	3	Tuesday	101655.0	32.0	16	0.0003
212	C	3	Wednesday	56519.0	13.0	17	0.0002
213	C	3	Thursday	46353.0	19.0	18	0.0004
214	C	3	Friday	64883.0	17.0	19	0.0003
215	C	3	Saturday	88234.0	29.0	20	0.0003
216	C	3	Sunday	111260.0	37.0	21	0.0003
217	C	3	Monday	203094.0	43.0	22	0.0002
218	C	3	Tuesday	196251.0	29.0	23	0.0001
219	C	3	Wednesday	189110.0	24.0	24	0.0001
220	C	3	Thursday	179101.0	32.0	25	0.0002
221	C	3	Friday	107506.0	22.0	26	0.0002
222	C	3	Saturday	92470.0	19.0	27	0.0002
223	C	6	Friday	152245.0	87.0	19	0.0006
224	C	6	Saturday	112735.0	57.0	20	0.0005
225	C	6	Sunday	143620.0	71.0	21	0.0005
226	C	6	Monday	306873.0	118.0	22	0.0004
227	C	6	Tuesday	267852.0	106.0	23	0.0004
228	C	6	Wednesday	247313.0	99.0	24	0.0004
229	C	6	Thursday	276679.0	116.0	25	0.0004
230	C	6	Friday	180143.0	69.0	26	0.0004
231	C	6	Saturday	176065.0	69.0	27	0.0004
232	C	7	Monday	452800.0	157.0	15	0.0003
233	C	7	Tuesday	303341.0	96.0	16	0.0003
234	C	7	Wednesday	192041.0	64.0	17	0.0003
235	C	7	Thursday	207962.0	62.0	18	0.0003
236	C	7	Friday	287952.0	81.0	19	0.0003
237	C	7	Saturday	399089.0	112.0	20	0.0003
238	C	7	Sunday	418926.0	129.0	21	0.0003
239	C	7	Monday	598358.0	276.0	22	0.0005
240	C	7	Tuesday	513989.0	279.0	23	0.0005
241	C	7	Wednesday	483139.0	226.0	24	0.0005
242	C	7	Thursday	506867.0	218.0	25	0.0004
243	C	7	Friday	292920.0	116.0	26	0.0004
244	C	7	Saturday	268148.0	107.0	27	0.0004
245	C	8	Monday	88683.0	37.0	1	0.0004
246	C	8	Tuesday	68333.0	35.0	2	0.0005
247	C	8	Wednesday	69381.0	21.0	3	0.0003
248	C	8	Thursday	58962.0	41.0	4	0.0007
249	C	8	Friday	47601.0	15.0	5	0.0003
250	C	8	Saturday	34138.0	9.0	6	0.0003
251	C	8	Sunday	36712.0	24.0	7	0.0007
252	C	8	Monday	61646.0	26.0	8	0.0004
253	C	8	Tuesday	59743.0	28.0	9	0.0005
254	C	8	Wednesday	83575.0	43.0	10	0.0005
255	C	8	Thursday	78139.0	25.0	11	0.0003
256	C	8	Friday	65005.0	28.0	12	0.0004
257	C	8	Saturday	46869.0	22.0	13	0.0005
258	C	8	Sunday	44653.0	21.0	14	0.0005
259	C	8	Monday	80388.0	37.0	22	0.0005
260	C	8	Tuesday	75629.0	28.0	23	0.0004
261	C	8	Wednesday	72225.0	29.0	24	0.0004
262	C	8	Thursday	67719.0	45.0	25	0.0007
263	C	8	Friday	35322.0	19.0	26	0.0005
264	C	8	Saturday	37134.0	16.0	27	0.0004
265	C	8	Sunday	120548.0	32.0	28	0.0003
266	D	1	Monday	24379.0	132.0	1	0.0054
267	D	1	Tuesday	24517.0	107.0	2	0.0044
268	D	1	Wednesday	23806.0	143.0	3	0.006
269	D	1	Thursday	21772.0	111.0	4	0.0051
270	D	1	Friday	19448.0	77.0	5	0.004
271	D	1	Saturday	12733.0	51.0	6	0.004
272	D	1	Sunday	12907.0	54.0	7	0.0042
273	D	1	Monday	22947.0	113.0	8	0.0049
274	D	1	Tuesday	23412.0	88.0	9	0.0038
275	D	1	Wednesday	22165.0	92.0	10	0.0042
276	D	1	Thursday	19894.0	73.0	11	0.0037
277	D	1	Friday	17663.0	75.0	12	0.0042
278	D	1	Saturday	11570.0	52.0	13	0.0045
279	D	1	Sunday	11958.0	50.0	14	0.0042
280	D	1	Monday	21991.0	80.0	15	0.0036
281	D	1	Tuesday	21361.0	78.0	16	0.0037
282	D	1	Wednesday	20584.0	81.0	17	0.0039
283	D	1	Thursday	19721.0	79.0	18	0.004
284	D	1	Friday	17776.0	69.0	19	0.0039
285	D	1	Saturday	11628.0	58.0	20	0.005
286	D	1	Sunday	12242.0	52.0	21	0.0042
287	D	3	Monday	113560.0	25.0	8	0.0002
288	D	3	Tuesday	114501.0	33.0	9	0.0003
289	D	3	Wednesday	108355.0	18.0	10	0.0002
290	D	3	Thursday	104356.0	25.0	11	0.0002
291	D	3	Friday	87419.0	14.0	12	0.0002
292	D	3	Saturday	59990.0	8.0	13	0.0001
293	D	3	Sunday	71757.0	15.0	14	0.0002
294	D	3	Monday	158217.0	40.0	15	0.0003
295	D	3	Tuesday	172412.0	44.0	16	0.0003
296	D	3	Wednesday	150034.0	27.0	17	0.0002
297	D	3	Thursday	157991.0	40.0	18	0.0003
298	D	3	Friday	126323.0	26.0	19	0.0002
299	D	3	Saturday	78445.0	16.0	20	0.0002
300	D	3	Sunday	82318.0	23.0	21	0.0003
301	D	7	Monday	478230.0	152.0	1	0.0003
302	D	7	Tuesday	449014.0	150.0	2	0.0003
303	D	7	Wednesday	380077.0	135.0	3	0.0004
304	D	7	Thursday	353957.0	131.0	4	0.0004
305	D	7	Friday	321789.0	109.0	5	0.0003
306	D	7	Saturday	237990.0	79.0	6	0.0003
307	D	7	Sunday	252872.0	74.0	7	0.0003
308	D	7	Monday	385600.0	108.0	8	0.0003
309	D	7	Tuesday	375430.0	115.0	9	0.0003
310	D	7	Wednesday	362955.0	111.0	10	0.0003
