,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
????? ????,?????,????,29.7,398101.0,13404.074074074077,35.16300089999999,129.0531722,1.0,2.0,10.0,?????,10,16,0.2511925365673535,0.02511925365673535,0.0502385073134707,4.127236819183581
????? ??,?????,??,38.3,315606.0,8240.365535248042,35.1971347,128.99037109999998,0.0,1.0,6.0,????,9,16,0.19011045417387504,0.0,0.03168507569564583,3.915946477039362
????? ???,?????,???,35.8,258975.0,7233.938547486034,35.1526399,128.9908173,0.0,2.0,6.0,????,9,17,0.2316825948450623,0.0,0.07722753161502076,3.8593748150972798
????? ???,?????,???,40.89,363630.0,8892.883345561262,35.1044223,128.9747081,0.0,0.0,9.0,????,9,19,0.2475043313257982,0.0,0.0,3.9490425953954658
????? ??,?????,??,13.67,126811.0,9276.591075347476,35.09773,129.0241207,0.0,0.0,3.0,????,9,18,0.2365725370827452,0.0,0.0,3.96738841273261
????? ???,?????,???,10.16,178231.0,17542.42125984252,35.145615,129.1130831,0.0,0.0,3.0,????,11,18,0.16832088693886024,0.0,0.0,4.244089535849698
????? ???,?????,???,12.08,211184.0,17482.11920529801,35.1761938,129.0797244,0.0,1.0,7.0,????,11,17,0.33146450488673385,0.0,0.04735207212667627,4.242594077233231
????? ???,?????,???,13.98,149787.0,10714.377682403434,35.0912316,129.0681448,0.0,0.0,2.0,????,10,19,0.13352293590231462,0.0,0.0,4.029966951211074
????? ??,?????,??,2.8,49983.0,17851.07142857143,35.106146200000005,129.03234170000002,1.0,2.0,4.0,????,10,18,0.8002720925114539,0.20006802312786348,0.40013604625572696,4.25166428776204
????? ????,?????,????,51.44,427619.0,8312.966562986003,35.1631139,129.16355090000002,3.0,3.0,14.0,?????,12,17,0.3273942458122768,0.07015590981691645,0.07015590981691645,3.919756033654802
????? ???,?????,???,39.5,569499.0,14417.696202531646,37.51723629999999,127.04732479999998,20.0,9.0,7.0,????,6,7,0.1229150534065907,0.3511858668759735,0.15803364009418808,4.158895870198908
????? ???,?????,???,24.6,489655.0,19904.674796747968,37.5301251,127.12376200000001,3.0,5.0,10.0,????,8,5,0.20422542402303662,0.06126762720691099,0.10211271201151831,4.2989550864601025
????? ???,?????,???,23.6,343912.0,14572.542372881355,37.639609899999996,127.0256575,0.0,1.0,4.0,????,5,2,0.11630882318732699,0.0,0.029077205796831748,4.1635353268003215
????? ???,?????,???,41.4,579196.0,13990.241545893721,37.5509786,126.8495382,3.0,4.0,12.0,????,4,4,0.20718375126900046,0.051795937817250115,0.06906125042300015,4.145825212786551
????? ???,?????,???,29.6,547311.0,18490.236486486487,37.478406299999996,126.95161329999999,4.0,2.0,10.0,????,5,6,0.18271147482875366,0.07308458993150146,0.03654229496575073,4.266942465735665
????? ???,?????,???,17.05,386513.0,22669.384164222876,37.5384843,127.0822938,3.0,2.0,11.0,????,7,6,0.2845958609412879,0.07761705298398759,0.05174470198932507,4.355439722256532
????? ???,?????,???,20.11,449613.0,22357.68274490304,37.495403100000004,126.88736899999999,2.0,2.0,8.0,????,4,7,0.17793079826428504,0.04448269956607126,0.04448269956607126,4.349426789229928
????? ???,?????,???,13.01,263116.0,20224.135280553422,37.4518527,126.90203580000001,2.0,1.0,6.0,????,5,7,0.228036303379498,0.07601210112649934,0.03800605056324967,4.305869961635982
????? ???,?????,???,35.44,615161.0,17357.816027088036,37.6541917,127.056793,0.0,3.0,10.0,????,6,1,0.16255906990202562,0.0,0.04876772097060769,4.23949508103336
????? ???,?????,???,20.8,372398.0,17903.75,37.6687738,127.0470706,2.0,1.0,5.0,????,5,1,0.1342649530878254,0.05370598123513016,0.02685299061756508,4.252944004931678
????? ????,?????,????,14.2,374277.0,26357.53521126761,37.57436819999999,127.0400189,1.0,1.0,6.0,?????,7,4,0.16030907589833196,0.026718179316388663,0.026718179316388663,4.42090479536831
????? ???,?????,???,16.36,407973.0,24937.224938875308,37.512402,126.9392525,2.0,3.0,6.0,????,5,5,0.14706855600738283,0.04902285200246095,0.07353427800369142,4.396848122727567
????? ???,?????,???,23.87,392313.0,16435.40008378718,37.5637561,126.90842109999998,2.0,2.0,9.0,????,5,4,0.22940866094164608,0.05097970243147691,0.05097970243147691,4.215780280493471
????? ????,?????,????,17.6,336649.0,19127.784090909092,37.5791158,126.93677890000001,3.0,1.0,4.0,?????,5,3,0.11881811619817674,0.08911358714863256,0.029704529049544185,4.281664660940425
????? ???,?????,???,47.04,431131.0,9165.199829931971,37.483712100000005,127.0324112,9.0,8.0,5.0,????,6,6,0.11597403109495721,0.208753255970923,0.18555844975193156,3.962141938375232
????? ???,?????,???,16.85,316064.0,18757.507418397625,37.5633415,127.03710249999999,0.0,2.0,6.0,????,7,5,0.18983497013263137,0.0,0.06327832337754379,4.273175126881153
????? ???,?????,???,24.57,484457.0,19717.41961741962,37.589116,127.0182146,2.0,1.0,10.0,????,6,2,0.2064166685588195,0.041283333711763896,0.020641666855881948,4.294850079000674
????? ???,?????,???,33.9,689296.0,20333.21533923304,37.514543700000004,127.10659709999999,6.0,4.0,20.0,????,8,6,0.29015111069845173,0.08704533320953553,0.05803022213969035,4.308206060077891
????? ???,?????,???,17.4,506684.0,29119.77011494253,37.5168721,126.86639850000002,3.0,1.0,6.0,????,4,5,0.11841700152363208,0.05920850076181604,0.01973616692060535,4.464187942131177
????? ????,?????,????,24.56,441747.0,17986.441368078176,37.5263715,126.8962283,4.0,4.0,10.0,?????,4,6,0.2263739199134346,0.09054956796537385,0.09054956796537385,4.254945246331358
????? ???,?????,???,21.87,251200.0,11486.053955189756,37.53842720000001,126.96544420000001,4.0,5.0,8.0,????,6,5,0.3184713375796178,0.1592356687898089,0.19904458598726113,4.060170852027522
????? ???,?????,???,29.7,470782.0,15851.24579124579,37.602695700000005,126.9291119,2.0,1.0,8.0,????,4,3,0.16993003130960826,0.042482507827402066,0.021241253913701033,4.200063400244761
????? ???,?????,???,23.9,177543.0,7428.577405857741,37.572950299999995,126.97935790000001,2.0,5.0,5.0,????,6,3,0.28162191694406424,0.1126487667776257,0.28162191694406424,3.87090565306881
????? ??,?????,??,9.96,137861.0,13841.465863453814,37.5640907,126.9979403,7.0,3.0,5.0,????,6,4,0.36268415287862416,0.5077578140300738,0.21761049172717445,4.14118208598042
????? ???,?????,???,18.5,429700.0,23227.027027027027,37.606560200000004,127.0926519,1.0,2.0,8.0,????,8,4,0.18617640214102862,0.023272050267628578,0.046544100535257156,4.36599362528089
??????? ???,???????,???,465.23,132016.0,283.7650194527438,36.576144299999996,127.24707590000001,0.0,0.0,4.0,??,4,11,0.3029935765361774,0.0,0.0,2.452958857664861
????? ??,?????,??,72.11,347437.0,4818.152822077383,35.54368300000001,129.3298017,1.0,1.0,8.0,????,12,15,0.2302575718763402,0.028782196484542524,0.028782196484542524,3.6828805708247057
????? ??,?????,??,35.77,176552.0,4935.756220296337,35.50485629999999,129.4166007,1.0,0.0,5.0,????,12,14,0.2832026824958086,0.05664053649916172,0.0,3.693353701512503
????? ??,?????,??,80.41,173677.0,2159.893048128343,35.58273399999999,129.3609087,0.0,0.0,5.0,????,12,13,0.2878907397064666,0.0,0.0,3.3344322466334892
????? ???,?????,???,754.93,200261.0,265.27095227372075,35.54,129.2,0.0,0.0,7.0,??,11,15,0.34954384528190713,0.0,0.0,2.423689696428206
????? ??,?????,??,37.0,231900.0,6267.567567567568,35.56879110000001,129.3321348,1.0,0.0,5.0,????,11,14,0.21561017680034497,0.04312203536006899,0.0,3.7970990245709926
????? ???,?????,???,411.2,67597.0,164.38959143968873,37.7467263,126.48787309999999,0.0,0.0,1.0,??,1,3,0.14793555927038182,0.0,0.0,2.2158743161029864
????? ???,?????,???,45.58,347296.0,7619.48222904783,37.53695039999999,126.73774350000001,1.0,2.0,8.0,????,2,5,0.23035105500783196,0.028793881875978995,0.05758776375195799,3.8819254604856064
????? ??,?????,??,24.47,426449.0,17427.421332243564,37.4636808,126.65047709999999,2.0,0.0,13.0,????,2,7,0.30484301757068255,0.046898925780105,0.0,4.241233130998294
????? ???,?????,???,56.9,474885.0,8345.957820738136,37.4469893,126.7319416,1.0,4.0,12.0,????,2,8,0.25269275719384693,0.021057729766153912,0.08423091906461565,3.921476185519835
????? ??,?????,??,7.05,78496.0,11134.18439716312,37.4738184,126.6433385,0.0,0.0,0.0,????,1,5,0.0,0.0,0.0,4.046658409534893
????? ???,?????,???,32.0,571700.0,17865.625,37.5069818,126.7217739,1.0,3.0,11.0,????,2,6,0.1924086059121917,0.017491691446562884,0.05247507433968865,4.252018213894367
????? ??,?????,??,137.05,405534.0,2959.022254651587,37.54542120000001,126.6759723,0.0,1.0,17.0,????,1,4,0.4192003629781967,0.0,0.024658844881070393,3.471148231478996
????? ???,?????,???,33.76,274596.0,8133.767772511849,37.4094099,126.6783088,3.0,1.0,8.0,????,1,8,0.29133709158181476,0.10925140934318053,0.036417136447726844,3.910291768688633
????? ???,?????,???,164.3,18328.0,111.5520389531345,37.213889,126.17833300000001,0.0,0.0,0.0,??,0,8,0.0,0.0,0.0,2.0474775127462794
????? ??,?????,??,110.6,93550.0,845.8408679927667,37.4737341,126.62147959999999,4.0,2.0,10.0,????,1,7,1.0689470871191877,0.42757883484767506,0.21378941742383753,2.927288664867349
???? ???,????,???,495.98,41428.0,83.52756159522559,34.6420774,126.767261,0.0,0.0,1.0,??,1,22,0.24138263976054844,0.0,0.0,1.9218298033118149
???? ???,????,???,775.85,75573.0,97.40671521557002,34.6112219,127.28497800000001,0.0,0.0,1.0,??,3,22,0.13232239027165787,0.0,0.0,1.9885888981572288
???? ???,????,???,547.37,32482.0,59.341944205930176,35.28195529999999,127.29191750000001,0.0,0.0,0.0,??,3,18,0.0,0.0,0.0,1.7733617709001903
???? ???,????,???,446.08,144628.0,324.21987087517937,34.9406968,127.6958882,0.0,0.0,4.0,??,5,20,0.2765716182205382,0.0,0.0,2.510839628485915
???? ???,????,???,443.01,27698.0,62.52229069321235,35.2024947,127.4626534,0.0,0.0,1.0,??,4,18,0.36103689797097266,0.0,0.0,1.7960348813304703
???? ???,????,???,603.69,92236.0,152.78702645397468,35.016060100000004,126.71075719999999,1.0,0.0,2.0,??,1,20,0.2168350752417711,0.10841753762088555,0.0,2.1840864787249066
???? ???,????,???,455.09,47886.0,105.22314267507528,35.3211394,126.9881673,0.0,0.0,2.0,??,2,18,0.41765860585557363,0.0,0.0,2.0221112686269036
???? ???,????,???,47.32,246364.0,5206.339814032122,34.8118351,126.39216640000001,1.0,1.0,8.0,??,0,20,0.3247227679368739,0.040590345992109235,0.040590345992109235,3.7165325107848806
???? ???,????,???,436.4,73830.0,169.17965169569203,34.99045419999999,126.48168559999999,1.0,0.0,3.0,??,1,19,0.4063388866314506,0.13544629554381687,0.0,2.2283481265061607
???? ???,????,???,663.16,49495.0,74.63508052355391,34.7714563,127.07989440000001,0.0,0.0,0.0,??,3,21,0.0,0.0,0.0,1.872943005713186
???? ???,????,???,907.35,271107.0,298.78988262522734,34.950637,127.4872135,1.0,1.0,9.0,??,4,20,0.33197224712014073,0.036885805235571195,0.036885805235571195,2.475365887673395
???? ???,????,???,653.13,45687.0,69.95085205089339,34.827332,126.101074,0.0,0.0,0.0,??,0,19,0.0,0.0,0.0,1.844793008874274
???? ???,????,???,501.3,295686.0,589.8384201077199,34.7603737,127.6622221,1.0,0.0,10.0,??,4,21,0.33819660044777233,0.03381966004477723,0.0,2.770733057631414
???? ???,????,???,472.97,57501.0,121.57430703850136,35.2771719,126.51198740000001,0.0,0.0,1.0,??,1,17,0.17391001895619207,0.0,0.0,2.084841802811774
???? ???,????,???,544.48,64508.0,118.47634440199823,34.8001685,126.6967918,0.0,0.0,1.0,??,1,21,0.1550195324610901,0.0,0.0,2.0736316455255355
???? ???,????,???,391.81,54645.0,139.4681095428907,34.3110596,126.7550541,0.0,0.0,1.0,??,2,23,0.18299935950224175,0.0,0.0,2.1444749141840633
???? ???,????,???,518.65,47047.0,90.71049840933192,35.3018333,126.78485409999999,0.0,0.0,1.0,??,2,17,0.21255340404276574,0.0,0.0,1.957657553183464
???? ???,????,???,617.96,42433.0,68.66625671564503,34.6816856,126.90692779999999,0.0,0.0,1.0,??,2,22,0.23566563759338252,0.0,0.0,1.836743372833986
???? ???,????,???,420.32,34181.0,81.3213741910925,34.4868712,126.26348529999999,0.0,0.0,0.0,??,0,22,0.0,0.0,0.0,1.9102047088563854
???? ???,????,???,392.77,37502.0,95.48081574458335,35.0659399,126.5165524,0.0,0.0,1.0,??,1,18,0.26665244520292253,0.0,0.0,1.9799161207647318
???? ???,????,???,887.47,81823.0,92.19804613113682,34.5732516,126.5989274,0.0,0.0,1.0,??,0,21,0.12221502511518766,0.0,0.0,1.9647217175454201
???? ???,????,???,786.23,70413.0,89.55776299556109,35.0645029,126.9864799,0.0,0.0,1.0,??,4,19,0.14201922940366127,0.0,0.0,1.9521032370863454
???? ???,????,???,606.9,60668.0,99.96375020596474,35.435821600000004,126.70208059999999,0.0,0.0,1.0,??,1,16,0.1648315421639085,0.0,0.0,1.9998425406037257
???? ???,????,???,234.74,270329.0,1151.610292238221,35.967677200000004,126.7366293,1.0,0.0,7.0,??,2,14,0.2589437315271391,0.03699196164673416,0.0,3.061305537625193
???? ???,????,???,545.06,95940.0,176.01731919421718,35.803607899999996,126.8808872,0.0,0.0,1.0,??,3,15,0.10423181154888472,0.0,0.0,2.2455554022483692
???? ???,????,???,752.74,88496.0,117.5651619417063,35.416357,127.39048770000001,0.0,0.0,2.0,??,5,17,0.225998915205207,0.0,0.0,2.0702786464171004
???? ???,????,???,631.68,25979.0,41.126836372847016,36.0068191,127.66078049999999,0.0,0.0,2.0,??,5,15,0.7698525732322261,0.0,0.0,1.6141253032689986
???? ???,????,???,493.54,60661.0,122.90999716335048,35.73156609999999,126.73346509999999,0.0,0.0,1.0,??,2,15,0.16485056296467251,0.0,0.0,2.089587208649688
???? ???,????,???,495.75,30471.0,61.46444780635401,35.3744136,127.13759679999998,0.0,0.0,1.0,??,3,17,0.32818089330839156,0.0,0.0,1.7886239842943148
???? ???,????,???,821.0,86076.0,104.84287454323996,35.891275,127.253895,0.0,0.0,2.0,??,4,15,0.2323528044983503,0.0,0.0,2.0205389197636214
???? ???,????,???,507.1,310255.0,611.822125813449,35.948285799999994,126.9575991,1.0,0.0,8.0,??,3,14,0.2578524117258384,0.0322315514657298,0.0,2.7866251786717644
???? ???,????,???,596.88,31127.0,52.149510789438416,35.6110549,127.28265990000001,0.0,0.0,1.0,??,4,17,0.3212644970604298,0.0,0.0,1.7172502386984285
???? ???,????,???,533.64,23740.0,44.48692002098793,35.647276700000006,127.5211363,0.0,0.0,0.0,??,5,16,0.0,0.0,0.0,1.6482323391220128
???? ???,????,???,206.45,639922.0,3099.646403487528,35.8242238,127.14795320000002,2.0,3.0,21.0,??,3,16,0.3281649951087789,0.03125380905797894,0.04688071358696841,3.4913121539075225
???? ???,????,???,692.8,122935.0,177.44659353348732,35.5698855,126.8558955,0.0,0.0,2.0,??,2,16,0.16268759913775574,0.0,0.0,2.2490676665530995
???? ???,????,???,788.94,27828.0,35.2726443075519,35.791729700000005,127.4248356,0.0,0.0,0.0,??,4,16,0.0,0.0,0.0,1.5474380189283468
??????? ????,???????,????,870.68,155641.0,178.75798226673405,33.2541205,126.560076,0.0,2.0,4.0,???,4,25,0.2570016897861104,0.0,0.1285008448930552,2.2522654439108494
??????? ???,???????,???,977.8,435396.0,445.2812436080998,33.4996213,126.5311884,1.0,0.0,9.0,??,4,24,0.20670837582338839,0.022967597313709818,0.0,2.6486344019152757
???? ???,????,???,60.7,42941.0,707.4299835255355,36.2745577,127.24858959999999,0.0,0.0,1.0,??,4,12,0.23287766936028506,0.0,0.0,2.849683462891414
???? ???,????,???,940.71,126542.0,134.51754525836867,36.4465346,127.1191534,0.0,0.0,4.0,??,4,10,0.31610058320557605,0.0,0.0,2.1287789334978453
???? ???,????,???,576.28,57209.0,99.27292288470885,36.10869279999999,127.48807120000001,0.0,0.0,1.0,??,3,13,0.17479767169501303,0.0,0.0,1.9968308089653701
???? ???,????,???,554.98,129597.0,233.5165231179502,36.187065600000004,127.0987453,0.0,0.0,4.0,??,3,12,0.3086491199641967,0.0,0.0,2.368317615716127
???? ???,????,???,694.13,141952.0,204.5034791753706,36.8936109,126.6283278,1.0,0.0,4.0,??,2,9,0.281785392245266,0.0704463480613165,0.0,2.310700700968358
???? ???,????,???,568.22,108141.0,190.31537080708176,36.3331629,126.61294409999999,0.0,0.0,4.0,??,2,11,0.36988746173976567,0.0,0.0,2.2794738654657873
???? ???,????,???,624.51,76295.0,122.1677795391587,36.2754406,126.910178,0.0,0.0,2.0,??,2,12,0.2621403761714398,0.0,0.0,2.0869566804281336
???? ???,????,???,739.15,161238.0,218.1397551241291,36.78449929999999,126.4503169,0.0,0.0,5.0,??,1,10,0.31010059663354794,0.0,0.0,2.338734821276372
???? ???,????,???,363.4,60672.0,166.95652173913044,36.0803312,126.6913277,0.0,0.0,1.0,??,2,13,0.16482067510548523,0.0,0.0,2.222603388349938
???? ???,????,???,542.2,300000.0,553.3013648100332,36.789796,127.0018494,1.0,0.0,11.0,??,3,9,0.36666666666666664,0.03333333333333333,0.0,2.7429617414751957
???? ???,????,???,543.1,88310.0,162.60357208617197,36.682612299999995,126.84839509999999,0.0,0.0,1.0,??,3,10,0.11323745895142112,0.0,0.0,2.2111300819731374
???? ???,????,???,636.5,551423.0,866.3362136684996,36.815129,127.11389390000001,3.0,2.0,24.0,??,4,9,0.4352375580996803,0.054404694762460036,0.03626979650830669,2.9376864686962283
???? ???,????,???,479.67,33012.0,68.82231534179748,36.4588326,126.80221159999999,0.0,0.0,1.0,??,3,11,0.3029201502483945,0.0,0.0,1.837729279201096
???? ???,????,???,504.82,63660.0,126.104354027178,36.745642100000005,126.2980528,0.0,0.0,1.0,??,1,9,0.15708451146716934,0.0,0.0,2.100730081793802
???? ???,????,???,443.9,88865.0,200.19148456859654,36.60123,126.6607764,0.0,0.0,3.0,??,2,10,0.3375907275080178,0.0,0.0,2.3014456001986314
???? ???,????,???,842.0,37273.0,44.26722090261283,36.815669,127.7865791,0.0,0.0,1.0,??,7,11,0.2682907198240013,0.0,0.0,1.6460822578147367
???? ???,????,???,781.07,32126.0,41.13075652630366,36.9845473,128.3655186,0.0,0.0,2.0,??,7,10,0.6225487144369047,0.0,0.0,1.6141666976486715
???? ???,????,???,584.45,35212.0,60.24809650098383,36.4894573,127.7294827,0.0,0.0,1.0,??,7,12,0.2839940929228672,0.0,0.0,1.7799433302149046
???? ???,????,???,845.01,50918.0,60.25727506183359,36.175023100000004,127.78343020000001,0.0,0.0,1.0,??,6,14,0.19639420244314387,0.0,0.0,1.7800094882340016
???? ???,????,???,537.13,54788.0,102.00137769255116,36.30636459999999,127.57128090000002,0.0,0.0,2.0,??,6,13,0.3650434401693802,0.0,0.0,2.0086060376465453
???? ???,????,???,521.05,94580.0,181.51808847519436,36.9396792,127.69050179999999,0.0,0.0,3.0,??,5,10,0.31719179530556146,0.0,0.0,2.2589199094467
???? ???,????,???,882.47,136966.0,155.20754246603286,37.1325821,128.19094809999999,0.0,0.0,3.0,??,8,10,0.2190324606106625,0.0,0.0,2.190912822410475
???? ???,????,???,81.84,33511.0,409.46969696969694,36.7855019,127.58165559999999,0.0,0.0,1.0,??,6,11,0.29840947748500496,0.0,0.0,2.6122217670834793
???? ???,????,???,406.08,64397.0,158.58205279747833,36.855379799999994,127.43611170000001,0.0,0.0,2.0,??,5,11,0.3105734739195925,0.0,0.0,2.20025403536456
???? ???,????,???,932.51,801281.0,859.2733589988312,36.6424341,127.48903190000001,6.0,6.0,29.0,??,6,12,0.361920474839663,0.07488009824268889,0.07488009824268889,2.934131347089629
???? ???,????,???,983.7,209074.0,212.53837552099216,36.9910113,127.9259497,1.0,0.0,5.0,??,6,10,0.23914977472091223,0.04782995494418244,0.0,2.3274373568442175
