Week,Pokémon Go,Candy Crush Saga,Nintendo Entertainment System,Angry Birds,Transistor
2010-01-03,0,0,8,0,0
2010-01-10,0,0,8,0,0
2010-01-17,0,0,8,0,0
2010-01-24,0,0,8,0,0
2010-01-31,0,0,8,0,0
2010-02-07,0,0,10,0,0
2010-02-14,0,0,9,0,0
2010-02-21,0,0,8,1,0
2010-02-28,0,0,8,1,0
2010-03-07,0,0,7,1,0
2010-03-14,0,0,7,1,0
2010-03-21,0,0,7,1,0
2010-03-28,0,0,7,1,0
2010-04-04,0,0,8,2,0
2010-04-11,0,0,7,2,0
2010-04-18,0,0,7,2,0
2010-04-25,0,0,7,3,0
2010-05-02,0,0,8,3,0
2010-05-09,0,0,7,3,0
2010-05-16,0,0,7,4,0
2010-05-23,0,0,8,4,0
2010-05-30,0,0,8,4,0
2010-06-06,0,0,7,4,0
2010-06-13,0,0,7,4,0
2010-06-20,0,0,7,4,0
2010-06-27,0,0,7,5,0
2010-07-04,0,0,7,7,0
2010-07-11,0,0,7,7,0
2010-07-18,0,0,8,8,0
2010-07-25,0,0,7,7,0
2010-08-01,0,0,7,8,0
2010-08-08,0,0,8,7,0
2010-08-15,0,0,7,7,0
2010-08-22,0,0,7,8,0
2010-08-29,0,0,7,10,0
2010-09-05,0,0,7,11,0
2010-09-12,0,0,7,9,0
2010-09-19,0,0,7,9,0
2010-09-26,0,0,6,10,0
2010-10-03,0,0,7,11,0
2010-10-10,0,0,7,14,0
2010-10-17,0,0,7,21,0
2010-10-24,0,0,7,20,0
2010-10-31,0,0,7,19,0
2010-11-07,0,0,7,19,0
2010-11-14,0,0,6,20,0
2010-11-21,0,0,7,24,0
2010-11-28,0,0,7,24,0
2010-12-05,0,0,7,26,0
2010-12-12,0,0,7,30,0
2010-12-19,0,0,8,30,0
2010-12-26,0,0,8,34,0
2011-01-02,0,0,7,35,0
2011-01-09,0,0,7,35,0
2011-01-16,0,0,7,34,0
2011-01-23,0,0,6,31,0
2011-01-30,0,0,7,31,0
2011-02-06,0,0,7,37,0
2011-02-13,0,0,7,33,0
2011-02-20,0,0,7,34,0
2011-02-27,0,0,6,32,0
2011-03-06,0,0,6,36,0
2011-03-13,0,0,6,34,0
2011-03-20,0,0,6,38,0
2011-03-27,0,0,6,39,0
2011-04-03,0,0,7,37,0
2011-04-10,0,0,6,36,0
2011-04-17,0,0,7,39,0
2011-04-24,0,0,6,36,0
2011-05-01,0,0,6,35,0
2011-05-08,0,0,6,50,0
2011-05-15,0,0,6,52,0
2011-05-22,0,0,6,50,0
2011-05-29,0,0,6,52,0
2011-06-05,0,0,6,61,0
2011-06-12,0,0,6,67,0
2011-06-19,0,0,6,69,0
2011-06-26,0,0,6,63,0
2011-07-03,0,0,6,63,0
2011-07-10,0,0,6,62,0
2011-07-17,0,0,6,63,0
2011-07-24,0,0,6,61,0
2011-07-31,0,0,6,64,0
2011-08-07,0,0,7,67,0
2011-08-14,0,0,7,69,0
2011-08-21,0,0,7,66,0
2011-08-28,0,0,7,68,0
2011-09-04,0,0,7,67,0
2011-09-11,0,0,6,70,0
2011-09-18,0,0,6,75,0
2011-09-25,0,0,6,76,0
2011-10-02,0,0,6,73,0
2011-10-09,0,0,6,70,0
2011-10-16,0,0,6,70,0
2011-10-23,0,0,6,76,0
2011-10-30,0,0,6,78,0
2011-11-06,0,0,6,73,0
2011-11-13,0,0,6,71,0
2011-11-20,0,0,6,75,0
2011-11-27,0,0,6,72,0
2011-12-04,0,0,6,76,0
2011-12-11,0,0,6,79,0
2011-12-18,0,0,6,87,0
2011-12-25,0,0,7,100,0
2012-01-01,0,0,6,81,0
2012-01-08,0,0,6,71,0
2012-01-15,0,0,6,73,0
2012-01-22,0,0,7,78,0
2012-01-29,0,0,6,74,0
2012-02-05,0,0,6,72,0
2012-02-12,0,0,6,71,0
2012-02-19,0,0,6,71,0
2012-02-26,0,0,6,66,0
2012-03-04,0,0,6,67,0
2012-03-11,0,0,6,68,0
2012-03-18,0,0,6,72,0
2012-03-25,0,0,6,80,0
2012-04-01,0,0,7,81,0
2012-04-08,0,0,6,71,0
2012-04-15,0,0,6,63,0
2012-04-22,0,0,6,60,0
2012-04-29,0,0,6,61,0
2012-05-06,0,1,6,58,0
2012-05-13,0,1,6,59,0
2012-05-20,0,1,6,58,0
2012-05-27,0,1,6,57,0
2012-06-03,0,1,6,55,0
2012-06-10,0,1,6,53,0
2012-06-17,0,1,6,53,0
2012-06-24,0,1,6,52,0
2012-07-01,0,1,6,51,0
2012-07-08,0,1,6,49,0
2012-07-15,0,1,7,48,0
2012-07-22,0,1,6,48,0
2012-07-29,0,1,6,49,0
2012-08-05,0,1,7,50,0
2012-08-12,0,1,6,51,0
2012-08-19,0,2,6,51,0
2012-08-26,0,2,6,49,0
2012-09-02,0,2,6,50,0
2012-09-09,0,2,6,46,0
2012-09-16,0,2,6,48,0
2012-09-23,0,1,6,48,0
2012-09-30,0,1,5,47,0
2012-10-07,0,1,5,47,0
2012-10-14,0,2,5,45,0
2012-10-21,0,1,6,47,0
2012-10-28,0,2,5,49,0
2012-11-04,0,2,5,48,0
2012-11-11,0,2,5,51,0
2012-11-18,0,3,6,51,0
2012-11-25,0,3,5,48,0
2012-12-02,0,3,6,49,0
2012-12-09,0,4,6,51,0
2012-12-16,0,4,6,54,0
2012-12-23,0,5,7,70,0
2012-12-30,0,6,6,57,0
2013-01-06,0,7,6,46,0
2013-01-13,0,8,6,45,0
2013-01-20,0,10,6,46,0
2013-01-27,0,12,6,44,0
2013-02-03,0,13,6,43,0
2013-02-10,0,15,6,43,0
2013-02-17,0,18,6,41,0
2013-02-24,0,19,6,41,0
2013-03-03,0,21,5,40,0
2013-03-10,0,22,5,41,0
2013-03-17,0,25,6,42,0
2013-03-24,0,30,6,44,0
2013-03-31,0,34,5,40,0
2013-04-07,0,34,5,37,0
2013-04-14,0,37,6,37,0
2013-04-21,0,42,6,36,0
2013-04-28,0,47,5,37,0
2013-05-05,0,47,6,37,0
2013-05-12,0,51,6,36,0
2013-05-19,0,55,5,34,0
2013-05-26,0,61,5,35,0
2013-06-02,0,62,5,33,0
2013-06-09,0,66,6,32,0
2013-06-16,0,70,6,32,0
2013-06-23,0,70,6,32,0
2013-06-30,0,72,6,32,0
2013-07-07,0,74,6,32,0
2013-07-14,0,75,6,31,0
2013-07-21,0,76,6,31,0
2013-07-28,0,76,6,30,0
2013-08-04,0,79,6,30,0
2013-08-11,0,78,6,29,0
2013-08-18,0,76,6,27,0
2013-08-25,0,73,5,26,0
2013-09-01,0,73,5,25,0
2013-09-08,0,68,5,24,0
2013-09-15,0,68,5,25,0
2013-09-22,0,66,5,24,0
2013-09-29,0,64,5,24,0
2013-10-06,0,63,5,23,0
2013-10-13,0,66,5,25,0
2013-10-20,0,66,5,23,0
2013-10-27,0,66,5,23,0
2013-11-03,0,61,5,23,0
2013-11-10,0,61,5,22,0
2013-11-17,0,58,5,24,0
2013-11-24,0,58,5,23,0
2013-12-01,0,57,5,23,0
2013-12-08,0,57,5,24,0
2013-12-15,0,54,5,25,0
2013-12-22,0,67,6,30,0
2013-12-29,0,71,6,28,0
2014-01-05,0,61,5,22,0
2014-01-12,0,56,5,21,0
2014-01-19,0,57,6,21,0
2014-01-26,0,55,6,24,0
2014-02-02,0,53,5,22,0
2014-02-09,0,51,5,21,0
2014-02-16,0,54,5,21,0
2014-02-23,0,51,5,20,0
2014-03-02,0,49,5,20,0
2014-03-09,0,48,5,19,0
2014-03-16,0,46,5,19,0
2014-03-23,0,49,5,19,0
2014-03-30,0,43,5,18,0
2014-04-06,0,42,5,18,0
2014-04-13,0,45,5,19,0
2014-04-20,0,44,5,18,0
2014-04-27,0,43,5,17,0
2014-05-04,0,40,5,16,0
2014-05-11,0,39,5,16,0
2014-05-18,0,39,5,16,3
2014-05-25,0,39,5,16,1
2014-06-01,0,38,5,16,1
2014-06-08,0,38,5,16,0
2014-06-15,0,37,5,17,0
2014-06-22,0,37,5,16,0
2014-06-29,0,38,5,16,0
2014-07-06,0,39,5,16,0
2014-07-13,0,38,6,15,0
2014-07-20,0,37,5,15,0
2014-07-27,0,36,5,16,0
2014-08-03,0,36,6,15,0
2014-08-10,0,35,5,15,0
2014-08-17,0,35,5,14,0
2014-08-24,0,35,5,14,0
2014-08-31,0,35,5,13,0
2014-09-07,0,33,6,13,0
2014-09-14,0,32,5,13,0
2014-09-21,0,31,5,12,0
2014-09-28,0,31,5,13,0
2014-10-05,0,31,5,13,0
2014-10-12,0,30,5,13,0
2014-10-19,0,29,5,15,0
2014-10-26,0,30,5,14,0
2014-11-02,0,31,5,13,0
2014-11-09,0,29,5,13,0
2014-11-16,0,28,5,13,0
2014-11-23,0,29,6,13,0
2014-11-30,0,27,5,13,0
2014-12-07,0,27,6,14,0
2014-12-14,0,28,6,13,0
2014-12-21,0,33,7,15,0
2014-12-28,0,35,6,15,0
2015-01-04,0,29,6,12,0
2015-01-11,0,28,6,12,0
2015-01-18,0,27,6,11,0
2015-01-25,0,26,6,11,0
2015-02-01,0,27,5,11,1
2015-02-08,0,25,5,11,0
2015-02-15,0,26,5,11,0
2015-02-22,0,25,5,11,0
2015-03-01,0,25,5,11,0
2015-03-08,0,24,5,10,0
2015-03-15,0,23,5,10,0
2015-03-22,0,24,5,11,0
2015-03-29,0,25,5,11,0
2015-04-05,0,23,5,10,0
2015-04-12,0,22,5,9,0
2015-04-19,0,22,5,9,0
2015-04-26,0,23,5,10,0
2015-05-03,0,21,5,9,0
2015-05-10,0,21,5,9,0
2015-05-17,0,23,5,9,0
2015-05-24,0,21,5,9,0
2015-05-31,0,21,5,9,0
2015-06-07,0,20,5,9,0
2015-06-14,0,20,5,9,0
2015-06-21,0,21,5,9,0
2015-06-28,0,21,5,9,0
2015-07-05,0,19,5,9,0
2015-07-12,0,19,5,9,0
2015-07-19,0,20,5,9,0
2015-07-26,0,20,5,9,0
2015-08-02,0,19,5,9,0
2015-08-09,0,19,5,9,0
2015-08-16,0,19,5,9,0
2015-08-23,0,19,5,8,0
2015-08-30,0,19,5,8,0
2015-09-06,1,18,5,7,0
2015-09-13,1,18,5,7,0
2015-09-20,1,18,5,9,0
2015-09-27,0,18,5,8,0
2015-10-04,0,17,5,7,0
2015-10-11,0,17,5,7,0
2015-10-18,0,17,5,7,0
2015-10-25,0,18,5,7,0
2015-11-01,0,18,5,7,0
2015-11-08,0,17,5,7,0
2015-11-15,0,16,5,7,0
2015-11-22,0,16,5,8,0
2015-11-29,0,16,5,8,0
2015-12-06,0,17,5,8,0
2015-12-13,0,17,5,9,0
2015-12-20,0,18,5,9,0
2015-12-27,0,19,5,9,0
2016-01-03,0,19,5,8,0
2016-01-10,0,17,5,7,0
2016-01-17,0,18,5,7,0
2016-01-24,0,18,5,8,0
2016-01-31,0,18,5,7,0
2016-02-07,0,17,5,7,0
2016-02-14,0,16,5,7,0
2016-02-21,0,16,5,7,0
2016-02-28,0,16,5,7,0
2016-03-06,0,16,5,7,0
2016-03-13,0,15,5,7,0
2016-03-20,0,16,5,8,0
2016-03-27,0,17,5,7,0
2016-04-03,0,16,5,7,0
2016-04-10,0,16,5,7,0
2016-04-17,0,15,5,8,0
2016-04-24,0,15,5,10,0
2016-05-01,0,15,5,12,0
2016-05-08,0,14,5,19,0
2016-05-15,0,15,5,26,0
2016-05-22,0,15,5,28,0
2016-05-29,0,15,5,26,0
2016-06-05,0,15,5,21,0
2016-06-12,0,15,5,18,0
2016-06-19,0,15,5,15,0
2016-06-26,0,15,5,14,0
2016-07-03,29,15,5,13,0
2016-07-10,100,15,15,12,0
2016-07-17,66,13,9,9,0
2016-07-24,51,18,10,13,0
, ,,,,
